# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0000003"	"reproduction"	0.6834968749866953	-1.2839966563652008	1	-0	null
"GO:0005975"	"carbohydrate metabolic process"	5.521546466478484	-3.4814860601221125	0.950145518023839	0.09441481	null
"GO:0006576"	"biogenic amine metabolic process"	0.4559428737775621	-1.8239087409443189	0.9488604460133317	0.0512398	null
"GO:0006468"	"protein phosphorylation"	4.340892012483024	-0.37675070960209955	0.8942766114590402	0.60106276	"biogenic amine metabolic process"
"GO:0006575"	"cellular modified amino acid metabolic process"	0.6851865747895725	-0.8538719643217619	0.937402883343372	0.16665643	"biogenic amine metabolic process"
"GO:0009308"	"amine metabolic process"	0.5896619908548657	-1.7958800173440752	0.9475565008889287	0.16020608	"biogenic amine metabolic process"
"GO:0070647"	"protein modification by small protein conjugation or removal"	1.2214999531673756	-0.37675070960209955	0.9160133896302131	0.17958456	"biogenic amine metabolic process"
"GO:0006629"	"lipid metabolic process"	4.558650411488468	-3.657577319177794	0.9513512476989009	0.04939347	null
"GO:0006790"	"sulfur compound metabolic process"	1.9505422206753265	-0.42021640338318983	0.9554876181611311	0.08510458	null
"GO:0006811"	"monoatomic ion transport"	4.401907471506606	-0.4814860601221125	0.9831496466488912	-0	null
"GO:0055085"	"transmembrane transport"	13.53545668727302	-1.0409586076789064	0.9718813828470344	0.5384965	"monoatomic ion transport"
"GO:0007154"	"cell communication"	8.661893464294382	-1.2365720064370627	0.9918310684183709	0.01426083	null
"GO:0008299"	"isoprenoid biosynthetic process"	0.5122118729218023	-3.619788758288394	0.8600692893407464	0.06756969	null
"GO:0006633"	"fatty acid biosynthetic process"	0.7436109390366955	-1.2218487496163564	0.8473858556146008	0.6934872	"isoprenoid biosynthetic process"
"GO:0006720"	"isoprenoid metabolic process"	0.5931910685927647	-3.769551078621726	0.8780560019821649	0.63645805	"isoprenoid biosynthetic process"
"GO:0008202"	"steroid metabolic process"	0.25984788976451706	-3.318758762624413	0.8885825357339461	0.52504884	"isoprenoid biosynthetic process"
"GO:0008610"	"lipid biosynthetic process"	2.7358634658696603	-2.958607314841775	0.8623695383051475	0.67552632	"isoprenoid biosynthetic process"
